Chunk,GT
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=59-106-15-121.r-bl100.sakura.ne.jp user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=59-106-15-121.r-bl100.sakura.ne.jp user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=59-106-15-121.r-bl100.sakura.ne.jp user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=59-106-15-121.r-bl100.sakura.ne.jp user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=59-106-15-121.r-bl100.sakura.ne.jp user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=59-106-15-121.r-bl100.sakura.ne.jp user=root</end>
warning: can't get client address: Connection reset by peer; getpeername (ftpd): Transport endpoint is not connected; check pass; user unknown; check pass; user unknown; check pass; user unknown,<start>warning: can't get client address: Connection reset by peer; getpeername (ftpd): Transport endpoint is not connected</end>
Out of Memory: Killed process 32193 (sendmail).; Out of Memory: Killed process 32370 (sendmail).; Out of Memory: Killed process 403 (mrtg).; Out of Memory: Killed process 454 (httpd).; Out of Memory: Killed process 455 (httpd).,<start>Out of Memory: Killed process 32193 (sendmail).</end>
Out of Memory: Killed process 24804 (httpd).; Out of Memory: Killed process 24805 (httpd).; Out of Memory: Killed process 24806 (httpd).; Out of Memory: Killed process 24807 (httpd).; Out of Memory: Killed process 24808 (httpd).,<start>Out of Memory: Killed process 24804 (httpd).</end>
"[<02114408>] do_page_fault+0x0/0x446; Out of Memory: Killed process 1688 (httpd).; httpd: page allocation failure. order:0, mode:0x1d2; [<0212ebf3>] __alloc_pages+0x274/0x281; [<021303bd>] do_page_cache_readahead+0xa3/0x101","<start>Out of Memory: Killed process 1688 (httpd).; httpd: page allocation failure. order:0, mode:0x1d2</end>"
"klogd startup succeeded; klogd 1.4.1, log source = /proc/kmsg started.; Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004; BIOS-provided physical RAM map:; BIOS-e820: 0000000000000000 - 00000000000a0000 (usable)",<start>normal</end>
Out of Memory: Killed process 11211 (httpd).; Out of Memory: Killed process 11212 (httpd).; Out of Memory: Killed process 11213 (httpd).; Out of Memory: Killed process 11221 (httpd).; Out of Memory: Killed process 11226 (httpd).,<start>Out of Memory: Killed process 11211 (httpd).</end>
Out of Memory: Killed process 15102 (httpd).; Out of Memory: Killed process 15119 (httpd).; Out of Memory: Killed process 15128 (python).; Out of Memory: Killed process 15145 (python).; Out of Memory: Killed process 15146 (httpd).,<start>Out of Memory: Killed process 15102 (httpd).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.16.122.48 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.16.122.48 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.16.122.48 user=root; session opened for user cyrus by (uid=0); session closed for user cyrus,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.16.122.48 user=root</end>
Out of Memory: Killed process 25610 (httpd).; Out of Memory: Killed process 25611 (httpd).; Out of Memory: Killed process 25612 (httpd).; Out of Memory: Killed process 25613 (httpd).; Out of Memory: Killed process 25626 (httpd).,<start>Out of Memory: Killed process 25610 (httpd).</end>
Out of Memory: Killed process 3171 (python).; Out of Memory: Killed process 3172 (httpd).; Out of Memory: Killed process 3178 (python).; Out of Memory: Killed process 3180 (httpd).; Out of Memory: Killed process 3197 (python).,<start>Out of Memory: Killed process 3171 (python).</end>
Stopping MySQL: failed; gpm shutdown succeeded; removing device node '/udev/vcsa4'; removing device node '/udev/vcs4'; httpd shutdown succeeded,<start>Stopping MySQL: failed</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=connect.borran.com user=adm; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=connect.borran.com user=adm; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=connect.borran.com user=adm; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212-41-230-229.hebragasse.xdsl-line.inode.at user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212-41-230-229.hebragasse.xdsl-line.inode.at user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=connect.borran.com user=adm</end>
Out of Memory: Killed process 7426 (sendmail).; Out of Memory: Killed process 7547 (sendmail).; Out of Memory: Killed process 7762 (mrtg).; Out of Memory: Killed process 7771 (httpd).; Out of Memory: Killed process 7772 (httpd).,<start>Out of Memory: Killed process 7426 (sendmail).</end>
Out of Memory: Killed process 26201 (httpd).; Out of Memory: Killed process 26202 (httpd).; Out of Memory: Killed process 26217 (httpd).; Out of Memory: Killed process 26218 (httpd).; Out of Memory: Killed process 26219 (httpd).,<start>Out of Memory: Killed process 26201 (httpd).</end>
Out of Memory: Killed process 5833 (httpd).; Out of Memory: Killed process 5846 (httpd).; Out of Memory: Killed process 5857 (httpd).; Out of Memory: Killed process 5870 (python).; Out of Memory: Killed process 5872 (httpd).,<start>Out of Memory: Killed process 5833 (httpd).</end>
Out of Memory: Killed process 27664 (httpd).; Out of Memory: Killed process 27675 (httpd).; Out of Memory: Killed process 27676 (httpd).; Out of Memory: Killed process 27677 (httpd).; Out of Memory: Killed process 27678 (httpd).,<start>Out of Memory: Killed process 27664 (httpd).</end>
"httpd: page allocation failure. order:0, mode:0x1d2; [<0212ebf3>] __alloc_pages+0x274/0x281; [<021303bd>] do_page_cache_readahead+0xa3/0x101; [<0212c71b>] filemap_nopage+0x119/0x26d; [<021361c7>] do_no_page+0xa1/0x235","<start>httpd: page allocation failure. order:0, mode:0x1d2</end>"
[<02142d47>] invalidate_inode_buffers+0x9/0x33; [<02114408>] do_page_fault+0x0/0x446; [<0227e913>] schedule+0x3f/0x44d; [<0215242b>] dput+0x12c/0x13a; [<02114408>] do_page_fault+0x0/0x446,<start>do_page_fault+0x0/0x446</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root</end>
connection from 81.171.220.226 () at Sat Jul 9 12:59:44 2005; connection from 81.171.220.226 () at Sat Jul 9 12:59:44 2005; connection from 81.171.220.226 () at Sat Jul 9 12:59:44 2005; connection from 81.171.220.226 () at Sat Jul 9 12:59:45 2005; connection from 81.171.220.226 () at Sat Jul 9 12:59:45 2005,<start>normal</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=203.71.234.22 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=203.71.234.22 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=203.71.234.22 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=203.71.234.22 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=203.71.234.22 user=test,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=203.71.234.22 user=test</end>
connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005; connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005; connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005; connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005; connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,<start>normal</end>
session closed for user test; session opened for user cyrus by (uid=0); session closed for user cyrus; ALERT exited abnormally with [1]; session opened for user news by (uid=0),<start>ALERT exited abnormally with [1]</end>
Out of Memory: Killed process 1303 (sendmail).; Out of Memory: Killed process 1833 (httpd).; Out of Memory: Killed process 1841 (httpd).; Out of Memory: Killed process 1850 (python).; Out of Memory: Killed process 1859 (httpd).,<start>Out of Memory: Killed process 1303 (sendmail).</end>
Out of Memory: Killed process 25413 (httpd).; Out of Memory: Killed process 25415 (httpd).; Out of Memory: Killed process 25416 (httpd).; Out of Memory: Killed process 25417 (httpd).; Out of Memory: Killed process 25418 (httpd).,<start>Out of Memory: Killed process 25413 (httpd).</end>
Out of Memory: Killed process 7372 (httpd).; Out of Memory: Killed process 7373 (httpd).; Out of Memory: Killed process 7378 (python).; Out of Memory: Killed process 7382 (httpd).; Out of Memory: Killed process 7383 (httpd).,<start>Out of Memory: Killed process 7372 (httpd).</end>
Out of Memory: Killed process 31417 (sendmail).; Out of Memory: Killed process 32404 (python).; Out of Memory: Killed process 32410 (httpd).; Out of Memory: Killed process 32412 (httpd).; Out of Memory: Killed process 30804 (sendmail).,<start>Out of Memory: Killed process 31417 (sendmail).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info user=root; connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul 9 22:53:19 2005; connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul 9 22:53:19 2005,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info user=root</end>
Out of Memory: Killed process 10087 (httpd).; Out of Memory: Killed process 10088 (httpd).; Out of Memory: Killed process 10089 (httpd).; Out of Memory: Killed process 10090 (httpd).; Out of Memory: Killed process 10091 (httpd).,<start>Out of Memory: Killed process 10087 (httpd).</end>
ttloop: read: Connection timed out; ttloop: read: Connection timed out; ttloop: read: Connection timed out; session opened for user root by (uid=0); ttloop: read: Connection timed out,<start>ttloop: read: Connection timed out</end>
connection from 85.187.145.160 () at Sun Feb 12 19:42:16 2006; connection from 85.187.145.160 () at Sun Feb 12 19:42:16 2006; connection from 85.187.145.160 () at Sun Feb 12 19:42:16 2006; connection from 85.187.145.160 () at Sun Feb 12 19:42:16 2006; connection from 85.187.145.160 () at Sun Feb 12 19:42:16 2006,<start>normal</end>
Out of Memory: Killed process 31807 (httpd).; Out of Memory: Killed process 31815 (httpd).; Out of Memory: Killed process 31827 (httpd).; Out of Memory: Killed process 31828 (httpd).; Out of Memory: Killed process 31833 (httpd).,<start>Out of Memory: Killed process 31807 (httpd).</end>
Out of Memory: Killed process 4440 (httpd).; Out of Memory: Killed process 4443 (python).; Out of Memory: Killed process 4445 (httpd).; Out of Memory: Killed process 4451 (python).; Out of Memory: Killed process 4453 (httpd).,<start>Out of Memory: Killed process 4440 (httpd).</end>
Out of Memory: Killed process 1922 (python).; Out of Memory: Killed process 1925 (httpd).; Out of Memory: Killed process 1937 (python).; Out of Memory: Killed process 1941 (httpd).; Out of Memory: Killed process 1942 (httpd).,<start>Out of Memory: Killed process 1922 (python).</end>
Out of Memory: Killed process 435 (httpd).; Out of Memory: Killed process 436 (httpd).; Out of Memory: Killed process 437 (httpd).; Out of Memory: Killed process 438 (httpd).; Out of Memory: Killed process 439 (httpd).,<start>Out of Memory: Killed process 435 (httpd).</end>
Out of Memory: Killed process 9033 (httpd).; Out of Memory: Killed process 9034 (httpd).; Out of Memory: Killed process 9052 (httpd).; Out of Memory: Killed process 9053 (httpd).; Out of Memory: Killed process 9054 (httpd).,<start>Out of Memory: Killed process 9033 (httpd).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-218-41-150.hinet-ip.hinet.net user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-218-41-150.hinet-ip.hinet.net user=root; connection from 200.207.16.97 (200-207-16-97.dsl.telesp.net.br) at Thu Sep 15 17:30:15 2005; connection from 200.207.16.97 (200-207-16-97.dsl.telesp.net.br) at Thu Sep 15 17:30:15 2005; connection from 200.207.16.97 (200-207-16-97.dsl.telesp.net.br) at Thu Sep 15 17:30:15 2005,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-218-41-150.hinet-ip.hinet.net user=root</end>
connection from 84.139.180.196 (p548BB4C4.dip0.t-ipconnect.de) at Fri Jan 6 15:54:04 2006; connection from 84.139.180.196 (p548BB4C4.dip0.t-ipconnect.de) at Fri Jan 6 15:54:04 2006; session opened for user cyrus by (uid=0); session closed for user cyrus; ALERT exited abnormally with [1],<start>ALERT exited abnormally with [1]</end>
"named startup succeeded; starting BIND 9.2.3 -u named -t /var/named/chroot; using 1 CPU; loading configuration from '/etc/named.conf'; listening on IPv4 interface lo, 127.0.0.1#53",<start>normal</end>
Out of Memory: Killed process 12723 (httpd).; Out of Memory: Killed process 12751 (httpd).; Out of Memory: Killed process 12752 (httpd).; Out of Memory: Killed process 12753 (httpd).; Out of Memory: Killed process 12754 (httpd).,<start>Out of Memory: Killed process 12723 (httpd).</end>
User unknown timed out after 900 seconds at Sat Aug 27 18:30:17 2005; User unknown timed out after 900 seconds at Sat Aug 27 18:30:17 2005; User unknown timed out after 900 seconds at Sat Aug 27 18:30:17 2005; User unknown timed out after 900 seconds at Sat Aug 27 18:30:18 2005; User unknown timed out after 900 seconds at Sat Aug 27 18:30:18 2005,<start>User unknown timed out after 900 seconds at Sat Aug 27 18:30:17 2005</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=85.17.1.3 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=85.17.1.3 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=85.17.1.3 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=85.17.1.3 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=85.17.1.3 user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=85.17.1.3 user=root</end>
removing device node '/udev/vcsa3'; removing device node '/udev/vcs2'; removing device node '/udev/vcsa2'; creating device node '/udev/vcsa5'; audit(1138296216.366:837154): syscall=230 exit=31 a0=fef68ed5 a1=dd6c52 a2=894de50 a3=ff items=1 pid=2686 loginuid=-1 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0,<start>normal</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-219-105-155.hinet-ip.hinet.net user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-219-105-155.hinet-ip.hinet.net user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-219-105-155.hinet-ip.hinet.net user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-219-105-155.hinet-ip.hinet.net user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-219-105-155.hinet-ip.hinet.net user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-219-105-155.hinet-ip.hinet.net user=root</end>
Out of Memory: Killed process 30481 (httpd).; Out of Memory: Killed process 30482 (httpd).; Out of Memory: Killed process 30511 (httpd).; Out of Memory: Killed process 30583 (httpd).; Out of Memory: Killed process 30584 (httpd).,<start>Out of Memory: Killed process 30481 (httpd).</end>
connection from 213.232.120.139 () at Fri Sep 16 12:12:38 2005; connection from 213.232.120.139 () at Fri Sep 16 12:12:38 2005; connection from 213.232.120.139 () at Fri Sep 16 12:12:38 2005; connection from 213.232.120.139 () at Fri Sep 16 12:12:38 2005; connection from 213.232.120.139 () at Fri Sep 16 12:12:38 2005,<start>normal</end>
Out of Memory: Killed process 24632 (httpd).; Out of Memory: Killed process 24705 (httpd).; Out of Memory: Killed process 24714 (httpd).; Out of Memory: Killed process 24730 (httpd).; Out of Memory: Killed process 24738 (httpd).,<start>Out of Memory: Killed process 24632 (httpd).</end>
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005; connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005; connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005; connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005; connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,<start>normal</end>
connection from 69.15.163.251 (mail2.systemsevolution.com) at Wed Sep 7 10:57:37 2005; connection from 69.15.163.251 (mail2.systemsevolution.com) at Wed Sep 7 10:57:37 2005; connection from 69.15.163.251 (mail2.systemsevolution.com) at Wed Sep 7 10:57:37 2005; connection from 69.15.163.251 (mail2.systemsevolution.com) at Wed Sep 7 10:57:37 2005; connection from 69.15.163.251 (mail2.systemsevolution.com) at Wed Sep 7 10:57:37 2005,<start>normal</end>
Out of Memory: Killed process 28073 (httpd).; Out of Memory: Killed process 28080 (httpd).; Out of Memory: Killed process 28081 (httpd).; Out of Memory: Killed process 28082 (httpd).; Out of Memory: Killed process 28096 (httpd).,<start>Out of Memory: Killed process 28073 (httpd).</end>
"ICH: IDE controller at PCI slot 0000:00:1f.1; ICH: chipset revision 2; ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio; ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio; Using cfq io scheduler",<start>normal</end>
Out of Memory: Killed process 16183 (httpd).; Out of Memory: Killed process 16184 (httpd).; Out of Memory: Killed process 16185 (httpd).; session opened for user cyrus by (uid=0); session closed for user cyrus,<start>Out of Memory: Killed process 16183 (httpd).</end>
Out of Memory: Killed process 11611 (python).; Out of Memory: Killed process 11625 (python).; Out of Memory: Killed process 11631 (python).; Out of Memory: Killed process 11640 (python).; Out of Memory: Killed process 11644 (httpd).,<start>Out of Memory: Killed process 11611 (python).</end>
Out of Memory: Killed process 19524 (python).; Out of Memory: Killed process 19535 (python).; Out of Memory: Killed process 19546 (python).; Out of Memory: Killed process 19547 (mrtg).; Out of Memory: Killed process 19562 (python).,<start>Out of Memory: Killed process 19524 (python).</end>
